ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,total_E
96,1.94e-07,4.65046,68921,8e+08,-2.1394e-18,-2.1394e-18,-2.1394e-18,2.26199e-14,9261,1e+08,3.29961e-17,3.29961e-17,3.29961e-17,1.95933e-11,5.74064e-11,7.70223e-11
97,1.96e-07,4.68359,68921,8e+08,-2.24557e-18,-2.24557e-18,-2.24557e-18,2.30461e-14,9261,1e+08,3.30347e-17,3.30347e-17,3.30347e-17,1.95945e-11,5.74111e-11,7.70287e-11
98,1.98e-07,4.71566,68921,8e+08,-2.32423e-18,-2.32423e-18,-2.32423e-18,2.34765e-14,9261,1e+08,3.30645e-17,3.30645e-17,3.30645e-17,1.95871e-11,5.74243e-11,7.70349e-11
99,2e-07,4.7458,68921,8e+08,-1.528e-18,-1.528e-18,-1.528e-18,2.39113e-14,9261,1e+08,3.30853e-17,3.30853e-17,3.30853e-17,1.95713e-11,5.74459e-11,7.70411e-11
100,2.02e-07,4.7773,68921,8e+08,-1.40948e-18,-1.40948e-18,-1.40948e-18,2.4349e-14,9261,1e+08,3.30974e-17,3.30974e-17,3.30974e-17,1.95472e-11,5.74749e-11,7.70465e-11
101,2.04e-07,4.91403,68921,8e+08,-1.39964e-18,-1.39964e-18,-1.39964e-18,2.47911e-14,9261,1e+08,3.31007e-17,3.31007e-17,3.31007e-17,1.9515e-11,5.75115e-11,7.70513e-11
102,2.06e-07,4.94367,68921,8e+08,-1.37898e-18,-1.37898e-18,-1.37898e-18,2.52377e-14,9261,1e+08,3.30953e-17,3.30953e-17,3.30953e-17,1.9475e-11,5.75566e-11,7.70568e-11
103,2.08e-07,4.97092,68921,8e+08,-1.37936e-18,-1.37936e-18,-1.37936e-18,2.56892e-14,9261,1e+08,3.30813e-17,3.30813e-17,3.30813e-17,1.94273e-11,5.76092e-11,7.70622e-11
104,2.1e-07,4.99778,68921,8e+08,-1.26953e-18,-1.26953e-18,-1.26953e-18,2.61451e-14,9261,1e+08,3.30589e-17,3.30589e-17,3.30589e-17,1.93722e-11,5.76686e-11,7.70669e-11
105,2.12e-07,5.0257,68921,8e+08,-1.11619e-18,-1.11619e-18,-1.11619e-18,2.66057e-14,9261,1e+08,3.30279e-17,3.30279e-17,3.30279e-17,1.93097e-11,5.77353e-11,7.70716e-11
106,2.14e-07,5.05654,68921,8e+08,-1.24594e-18,-1.24594e-18,-1.24594e-18,2.70708e-14,9261,1e+08,3.29886e-17,3.29886e-17,3.29886e-17,1.92403e-11,5.78101e-11,7.70775e-11
